open,high,low,close,volume,marketCap,timestamp
18.98187811,19.5433335,3.62579911,4.940743745,281599801.3,0,5/28/2022
4.967988666,6.457103633,4.845546283,5.855366877,150037483.2,0,5/29/2022
5.859350448,11.97272204,5.655777414,10.71411422,456670856.9,0,5/30/2022
10.71602465,11.01195341,7.999300569,8.880991077,1588677633,0,5/31/2022
8.876629451,8.916562632,6.030296294,6.564243136,946786250.2,0,6/1/2022
6.559117406,7.380523623,6.243843834,7.11721549,596602328.7,0,6/2/2022
7.118081083,7.118081083,6.229190028,6.49907263,327404601.7,0,6/3/2022
6.499095252,6.533857888,6.287520727,6.374770057,170089168.2,0,6/4/2022
6.377714762,6.379895009,4.609749,4.84558499,547429654.8,0,6/5/2022
4.862817887,5.502444541,4.803983302,4.924068983,339274644.9,0,6/6/2022
4.923494844,4.933791935,3.784086806,3.836932286,345666221,0,6/7/2022
3.835549613,3.864642731,1.963688587,2.178519732,509290840.4,0,6/8/2022
2.159680399,3.473269397,2.08179253,3.162080135,874151634.9,0,6/9/2022
3.146990011,3.271871012,2.784362129,2.858645464,338815636.7,0,6/10/2022
2.859992746,2.93888903,2.49419214,2.606484831,225193377.3,0,6/11/2022
2.608045177,3.41455312,2.494516294,2.656998697,346556942.6,0,6/12/2022
2.659327178,2.758935902,2.279540896,2.50242937,324120762.8,0,6/13/2022
2.504050825,2.781361608,2.338979437,2.533253264,245718760.8,0,6/14/2022
2.533211462,2.585654583,2.100754468,2.547717291,281499384.5,317544773,6/15/2022
2.544551544,2.662139473,2.214567336,2.246135813,189814719.1,279955978.4,6/16/2022
2.246271462,2.319641667,2.198461076,2.237400002,154526569.6,278867156.2,6/17/2022
2.236815105,2.258717035,1.661489563,1.861355235,230172920.6,231997336.5,6/18/2022
1.861474711,2.239724386,1.76693844,2.115944838,248847670.1,263729113.8,6/19/2022
2.115697972,2.115697972,1.906542891,2.040096547,180777457.7,254275463.4,6/20/2022
2.039729064,2.205669699,2.026696925,2.03064124,155422140.4,253096964,6/21/2022
2.031329873,2.031433018,1.897321211,1.91670937,98769241.04,238896616.9,6/22/2022
1.916447734,1.990891985,1.827728867,1.935572402,126173985.2,241247685.2,6/23/2022
1.93639172,2.031839333,1.862323278,1.983377745,135203728.4,247206092.3,6/24/2022
1.983308314,2.041135377,1.92620348,1.995160273,115547874.1,248674654.1,6/25/2022
1.994261819,2.058611432,1.919259415,2.012508076,160092257.2,250836865.7,6/26/2022
2.013319698,2.686603234,1.967989187,2.21987538,561924727.3,282979667,6/27/2022
2.220419498,2.570130035,2.103277306,2.441367456,315428925.6,311214474.4,6/28/2022
2.440234956,2.779366019,2.356354667,2.608671879,404108750.6,332541685.1,6/29/2022
2.610300632,2.6215365,2.036303129,2.120743544,195573640.6,270342789.2,6/30/2022
2.123717773,2.215749726,2.041841006,2.140313453,150085511.3,272837472.6,7/1/2022
2.140891772,2.197093296,2.069012004,2.112373913,126280265.2,269275866.5,7/2/2022
2.111750741,2.155370919,2.076551117,2.15066257,90550271.39,274156731.2,7/3/2022
2.150685089,2.250141505,2.106635592,2.247214684,106533864.8,286464757.7,7/4/2022
2.247174972,2.247991987,2.113721958,2.159045468,108652009,275225345.1,7/5/2022
2.159848852,2.171736107,2.127085784,2.152812832,71096937.36,274430836.8,7/6/2022
2.152794766,2.198278124,2.127829624,2.191830166,74350835.62,279404590,7/7/2022
2.192304367,2.4447666,2.189091812,2.273055088,171240883.1,289758775.4,7/8/2022
2.274165436,2.284386303,2.226318505,2.266142342,69898870.72,288877569.9,7/9/2022
2.265519248,2.265690044,2.063934237,2.1152894,87484536.59,269647519.6,7/10/2022
2.114871656,2.114871656,1.859701422,1.88980326,101845375.2,240903566.9,7/11/2022
1.890463024,1.92264574,1.805112279,1.817925418,96072498.83,231740904.9,7/12/2022
1.818056289,1.883704495,1.571517043,1.80425393,129166948.1,229998125.5,7/13/2022
1.804526112,1.825283097,1.697871363,1.764534462,99864399.22,224934867.5,7/14/2022
1.766662513,1.867521482,1.738618968,1.806652917,113508370,230303937.5,7/15/2022
1.806890074,1.817352744,1.728296075,1.78867131,88326910,228011723.7,7/16/2022
1.788322732,1.850162275,1.750853384,1.768478883,80285040.84,225437684.4,7/17/2022
1.76838092,2.191991582,1.764196877,2.065517208,231941828.1,263302785.8,7/18/2022
2.060384638,2.116154576,1.882515512,2.002330324,154052496.6,255248007.8,7/19/2022
2.0021745,2.167059132,1.880208693,1.896685655,150034343.1,241780903.5,7/20/2022
